meta_objective,state,strength,reward_mean,reward_std,meta_after_mean,sample_grad_norm_mean,virtual_step_norm_mean,relative_step_mean,dropped_items_mean
M0_balanced,high,0.1,-0.1684602896372477,0.208644965866794,10.831889549891153,17.032377020000432,0.17032377020000433,0.0021272860645642163,0.4166666666666667
M0_balanced,high,0.2,-0.16855629285176596,0.20855759925461614,10.831985553105673,17.03398568939348,0.1703398568939348,0.0021274869819099458,0.7083333333333334
M0_balanced,high,0.4,-0.168541153271993,0.20836987637471663,10.8319704135259,17.02964699441731,0.1702964699441731,0.0021269450936373716,1.25
M0_balanced,low,0.1,-0.20071514447530112,0.21764735522442544,10.864144404729208,17.827595749761816,0.17827595749761818,0.0022266061841291723,0.5
M0_balanced,low,0.2,-0.2008970578511556,0.21748553771813275,10.864326318105062,17.826967043237037,0.17826967043237038,0.0022265276608186974,0.875
M0_balanced,low,0.4,-0.20103967189788818,0.21739841171704946,10.864468932151794,17.81978175024242,0.17819781750242422,0.0022256302421178723,1.7083333333333333
M0_balanced,medium,0.1,-0.11710890134175618,0.11156738487082837,10.780538161595663,16.20082070655172,0.1620082070655172,0.0020234275041634796,0.4583333333333333
M0_balanced,medium,0.2,-0.11706197261810303,0.11149832063101073,10.78049123287201,16.194703575359025,0.16194703575359026,0.002022663495245285,0.7916666666666666
M0_balanced,medium,0.4,-0.11727523803710938,0.11125877626244175,10.780704498291016,16.191592448970578,0.1619159244897058,0.0020222749261216994,1.75
M1_margin,high,0.1,-0.20202434062957764,0.34986123843200545,12.807905077934265,17.032377020000432,0.17032377020000433,0.0021272860645642163,0.4166666666666667
M1_margin,high,0.2,-0.20226486523946127,0.3498586160221346,12.80814560254415,17.03398568939348,0.1703398568939348,0.0021274869819099458,0.7083333333333334
M1_margin,high,0.4,-0.2023106018702189,0.34968029122867317,12.808191339174906,17.02964699441731,0.1702964699441731,0.0021269450936373716,1.25
M1_margin,low,0.1,-0.2799448569615682,0.35720384044678277,12.885825594266256,17.827595749761816,0.17827595749761818,0.0022266061841291723,0.5
M1_margin,low,0.2,-0.280318816502889,0.35686365777110207,12.886199553807577,17.826967043237037,0.17826967043237038,0.0022265276608186974,0.875
M1_margin,low,0.4,-0.2807367245356242,0.356830188437305,12.886617461840311,17.81978175024242,0.17819781750242422,0.0022256302421178723,1.7083333333333333
M1_margin,medium,0.1,-0.12736626466115317,0.20544632179605357,12.733247001965841,16.20082070655172,0.1620082070655172,0.0020234275041634796,0.4583333333333333
M1_margin,medium,0.2,-0.12733014424641928,0.2054406947972506,12.733210881551107,16.194703575359025,0.16194703575359026,0.002022663495245285,0.7916666666666666
M1_margin,medium,0.4,-0.12783225377400717,0.20503264776529734,12.733712991078695,16.191592448970578,0.1619159244897058,0.0020222749261216994,1.75
M2_popmass,high,0.1,-0.16486716270446777,0.20794259305065405,11.0016610622406,17.032377020000432,0.17032377020000433,0.0021272860645642163,0.4166666666666667
M2_popmass,high,0.2,-0.1649657885233561,0.20785643808077967,11.001759688059488,17.03398568939348,0.1703398568939348,0.0021274869819099458,0.7083333333333334
M2_popmass,high,0.4,-0.16495283444722494,0.20766916047791234,11.001746733983358,17.02964699441731,0.1702964699441731,0.0021269450936373716,1.25
M2_popmass,low,0.1,-0.1954903999964396,0.21522164325243223,11.032284299532572,17.827595749761816,0.17827595749761818,0.0022266061841291723,0.5
M2_popmass,low,0.2,-0.19567581017812094,0.21505612837969937,11.032469709714254,17.826967043237037,0.17826967043237038,0.0022265276608186974,0.875
M2_popmass,low,0.4,-0.1958309809366862,0.2149668906559553,11.032624880472818,17.81978175024242,0.17819781750242422,0.0022256302421178723,1.7083333333333333
M2_popmass,medium,0.1,-0.11512959003448486,0.11121184937762028,10.951923489570618,16.20082070655172,0.1620082070655172,0.0020234275041634796,0.4583333333333333
M2_popmass,medium,0.2,-0.11508587996164958,0.1111454951048957,10.951879779497782,16.194703575359025,0.16194703575359026,0.002022663495245285,0.7916666666666666
M2_popmass,medium,0.4,-0.1153111457824707,0.11089786391012382,10.952105045318604,16.191592448970578,0.1619159244897058,0.0020222749261216994,1.75
