meta_objective,state,strength,utility_mean,utility_std,cosine_mean,sample_grad_norm_mean,sample_loss_mean,augmentation_rate,dropped_items_mean
M0_balanced,high,0.1,0.0028067243401892483,0.0016615863122264503,0.0016824034248656972,1.668181558450063,9.512408728400866,0.4791666666666667,0.17708333333333334
M0_balanced,high,0.2,0.002857715321927875,0.001685866198406557,0.0017151018580534583,1.6668436601758003,9.509147678812345,0.4791666666666667,0.2916666666666667
M0_balanced,high,0.4,0.0029053621886608503,0.0018273538393025772,0.001748244198476338,1.6634731118877728,9.507338047027588,0.4791666666666667,0.625
M0_balanced,low,0.1,0.0028668336005163533,0.0012868390907791387,0.0017650278111129107,1.6174561629692714,9.734733566641808,0.4375,0.13541666666666666
M0_balanced,low,0.2,0.0028781050411150013,0.001333250131506601,0.0017729923586860725,1.616587904592355,9.734118903676668,0.4375,0.3020833333333333
M0_balanced,low,0.4,0.002925365757619147,0.0014287812180884942,0.0018042383574652376,1.6155726176997025,9.735332106550535,0.4375,0.5833333333333334
M0_balanced,medium,0.1,0.002864555848039648,0.0019396990242288184,0.0017433883425989432,1.6431204515198867,9.54677677154541,0.53125,0.21875
M0_balanced,medium,0.2,0.0028652218085577865,0.0019524135270052672,0.0017459135582669205,1.6413745594521363,9.545546422402063,0.53125,0.40625
M0_balanced,medium,0.4,0.002847407545838602,0.0021026370268966907,0.0017364331959299761,1.6387932548920314,9.543382162849108,0.53125,0.7708333333333334
M1_margin,high,0.1,0.016064407924811046,0.004470136698742547,0.009582918253727257,1.668181558450063,9.512408728400866,0.4791666666666667,0.17708333333333334
M1_margin,high,0.2,0.015961580153089017,0.00432478850882592,0.009531216574638771,1.6668436601758003,9.509147678812345,0.4791666666666667,0.2916666666666667
M1_margin,high,0.4,0.015761240569797035,0.004411638101423777,0.009427290147868916,1.6634731118877728,9.507338047027588,0.4791666666666667,0.625
M1_margin,low,0.1,0.01202751365781296,0.0031144935098478027,0.007395356985701558,1.6174561629692714,9.734733566641808,0.4375,0.13541666666666666
M1_margin,low,0.2,0.011975102082942612,0.0031355471994204925,0.007366540012299083,1.616587904592355,9.734118903676668,0.4375,0.3020833333333333
M1_margin,low,0.4,0.011898938755621202,0.0031178706327159773,0.007325541761626179,1.6155726176997025,9.735332106550535,0.4375,0.5833333333333334
M1_margin,medium,0.1,0.013112337668038284,0.002986093677433004,0.007960126172595968,1.6431204515198867,9.54677677154541,0.53125,0.21875
M1_margin,medium,0.2,0.013018262926683141,0.0029704802933210386,0.007911515628317526,1.6413745594521363,9.545546422402063,0.53125,0.40625
M1_margin,medium,0.4,0.012815513357054442,0.0031991736691899257,0.007797220326513828,1.6387932548920314,9.543382162849108,0.53125,0.7708333333333334
M2_popmass,high,0.1,0.003534674473485211,0.0015988064453703993,0.0021175289747740558,1.668181558450063,9.512408728400866,0.4791666666666667,0.17708333333333334
M2_popmass,high,0.2,0.0035851945588850262,0.0016207031312473364,0.00215031430699734,1.6668436601758003,9.509147678812345,0.4791666666666667,0.2916666666666667
M2_popmass,high,0.4,0.0036296681391831953,0.0017677319208323156,0.0021824781811119465,1.6634731118877728,9.507338047027588,0.4791666666666667,0.625
M2_popmass,low,0.1,0.0034555804874495757,0.001286870285617474,0.002128334796149526,1.6174561629692714,9.734733566641808,0.4375,0.13541666666666666
M2_popmass,low,0.2,0.0034661105625370205,0.0013365382858904174,0.002136046358070113,1.616587904592355,9.734118903676668,0.4375,0.3020833333333333
M2_popmass,low,0.4,0.0035130681559773316,0.0014355168756314614,0.002167347215466483,1.6155726176997025,9.735332106550535,0.4375,0.5833333333333334
M2_popmass,medium,0.1,0.003558803828127566,0.001922274971896097,0.002165698140136859,1.6431204515198867,9.54677677154541,0.53125,0.21875
M2_popmass,medium,0.2,0.0035572272524101813,0.0019364709786418213,0.0021672693283107947,1.6413745594521363,9.545546422402063,0.53125,0.40625
M2_popmass,medium,0.4,0.0035340282817439097,0.002105474450809704,0.0021551445235369706,1.6387932548920314,9.543382162849108,0.53125,0.7708333333333334
