meta_objective,state,sample_index,seq_pop_ratio,strength,repeat,sample_loss,sample_grad_norm,reward,meta_before,meta_after,meta_delta,virtual_step_norm,relative_step,augmented,dropped_items
M0_balanced,low,0,0.375,0.1,0,10.907244682312012,17.378463734916455,-0.007266998291015625,10.663429260253906,10.670696258544922,0.007266998291015625,0.017378463734916454,0.00021705111202864532,1,1
M1_margin,low,0,0.375,0.1,0,10.907244682312012,17.378463734916455,-0.027872085571289062,12.605880737304688,12.633752822875977,0.027872085571289062,0.017378463734916454,0.00021705111202864532,1,1
M2_popmass,low,0,0.375,0.1,0,10.907244682312012,17.378463734916455,-0.007015228271484375,10.836793899536133,10.843809127807617,0.007015228271484375,0.017378463734916454,0.00021705111202864532,1,1
M0_balanced,low,0,0.375,0.2,0,10.907244682312012,17.378463734916455,-0.007266998291015625,10.663429260253906,10.670696258544922,0.007266998291015625,0.017378463734916454,0.00021705111202864532,1,1
M1_margin,low,0,0.375,0.2,0,10.907244682312012,17.378463734916455,-0.027872085571289062,12.605880737304688,12.633752822875977,0.027872085571289062,0.017378463734916454,0.00021705111202864532,1,1
M2_popmass,low,0,0.375,0.2,0,10.907244682312012,17.378463734916455,-0.007015228271484375,10.836793899536133,10.843809127807617,0.007015228271484375,0.017378463734916454,0.00021705111202864532,1,1
M0_balanced,low,0,0.375,0.4,0,10.809959411621094,17.339282380023135,-0.007386207580566406,10.663429260253906,10.670815467834473,0.007386207580566406,0.017339282380023135,0.00021656175020816993,1,3
M1_margin,low,0,0.375,0.4,0,10.809959411621094,17.339282380023135,-0.028168678283691406,12.605880737304688,12.634049415588379,0.028168678283691406,0.017339282380023135,0.00021656175020816993,1,3
M2_popmass,low,0,0.375,0.4,0,10.809959411621094,17.339282380023135,-0.007142066955566406,10.836793899536133,10.8439359664917,0.007142066955566406,0.017339282380023135,0.00021656175020816993,1,3
M0_balanced,low,0,0.375,0.1,1,10.915111541748047,17.356566409381614,-0.0073394775390625,10.663429260253906,10.670768737792969,0.0073394775390625,0.017356566409381616,0.00021677762186689755,1,1
M1_margin,low,0,0.375,0.1,1,10.915111541748047,17.356566409381614,-0.028070449829101562,12.605880737304688,12.633951187133789,0.028070449829101562,0.017356566409381616,0.00021677762186689755,1,1
M2_popmass,low,0,0.375,0.1,1,10.915111541748047,17.356566409381614,-0.007090568542480469,10.836793899536133,10.843884468078613,0.007090568542480469,0.017356566409381616,0.00021677762186689755,1,1
M0_balanced,low,0,0.375,0.2,1,10.915111541748047,17.356566409381614,-0.0073394775390625,10.663429260253906,10.670768737792969,0.0073394775390625,0.017356566409381616,0.00021677762186689755,1,1
